fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western
titles02/index.html.201,tt0033045,Rendezvous nach Ladenschluß (1940),rendezvous nach ladenschlu,http://www.imdb.com/title/tt0033045/,8.1,15932,5940,1940,video.movie,1,0,8,64,121,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles02/index.html.2026,tt1906364,Elizabeth Taylor: A Tribute (TV Movie 2011),elizabeth taylor a tribute tv movie,http://www.imdb.com/title/tt1906364/,7.0,6,3600,2011,video.movie,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.203,tt0362227,Terminal (2004),terminal,http://www.imdb.com/title/tt0362227/,7.3,219483,7680,2004,video.movie,3,2,63,244,573,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.2034,tt0765429,American Gangster (2007),american gangster,http://www.imdb.com/title/tt0765429/,7.8,264349,9420,2007,video.movie,9,30,103,1108,440,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.2035,tt0101507,Boyz n the Hood - Jungs im Viertel (1991),boyz n the hood jungs im viertel,http://www.imdb.com/title/tt0101507/,7.8,71979,6720,1991,video.movie,10,9,35,302,167,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.2037,tt0307901,25 Stunden (2002),stunden,http://www.imdb.com/title/tt0307901/,7.7,127674,8100,2002,video.movie,4,7,31,13,442,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.2038,tt0106489,In den Straßen der Bronx (1993),in den stra en der bronx,http://www.imdb.com/title/tt0106489/,7.8,78459,7260,1993,video.movie,1,2,31,86,176,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.2040,tt0243133,The Man Who Wasn't There (2001),the man who wasn t there,http://www.imdb.com/title/tt0243133/,7.6,71870,6960,2001,video.movie,25,33,58,113,425,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.2054,tt0701070,"Die Simpsons" Black Widower (TV Episode 1992),die simpsons black widower tv episode,http://www.imdb.com/title/tt0701070/,7.7,848,1800,1992,video.episode,0,0,2,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.2060,tt0084805,Tootsie (1982),tootsie,http://www.imdb.com/title/tt0084805/,7.4,63675,6960,1982,video.movie,30,23,37,355,162,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles02/index.html.2061,tt0250478,Krámpack (2000),kr mpack,http://www.imdb.com/title/tt0250478/,7.0,4840,5460,2000,video.movie,12,9,5,8,31,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles02/index.html.2064,tt0115640,Die erste Liebe (1996),die erste liebe,http://www.imdb.com/title/tt0115640/,7.9,14623,5400,1996,video.movie,4,3,26,68,150,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles02/index.html.2067,tt0069704,American Graffiti (1973),american graffiti,http://www.imdb.com/title/tt0069704/,7.5,52962,6600,1973,video.movie,8,6,57,392,222,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.207,tt1022603,(500) Days of Summer (2009),days of summer,http://www.imdb.com/title/tt1022603/,7.8,273980,5700,2009,video.movie,10,22,96,29,453,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles02/index.html.208,tt0119822,Besser geht's nicht (1997),besser geht s nicht,http://www.imdb.com/title/tt0119822/,7.8,189536,8340,1997,video.movie,31,30,99,440,449,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles02/index.html.2082,tt1663519,"Nachbarn" Episode #1.4096 (TV Episode 2002),nachbarn episode tv episode,http://www.imdb.com/title/tt1663519/,,,1320,2002,video.episode,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.2085,tt0086837,2010 - Das Jahr\, in dem wir Kontakt aufnehmen (1984),das jahr in dem wir kontakt aufnehmen,http://www.imdb.com/title/tt0086837/,6.8,34397,6960,1984,video.movie,1,3,10,0,202,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
titles02/index.html.2087,tt0069293,Solaris (1972),solaris,http://www.imdb.com/title/tt0069293/,8.1,38487,10020,1972,video.movie,2,4,20,44,216,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
titles02/index.html.2088,tt0063442,Planet der Affen (1968),planet der affen,http://www.imdb.com/title/tt0063442/,8.0,110247,6720,1968,video.movie,5,0,138,151,363,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
titles02/index.html.2089,tt0079945,Star Trek: Der Film (1979),star trek der film,http://www.imdb.com/title/tt0079945/,6.3,49916,7920,1979,video.movie,2,15,48,217,372,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
titles02/index.html.2090,tt0049223,Alarm im Weltall (1956),alarm im weltall,http://www.imdb.com/title/tt0049223/,7.7,27324,5880,1956,video.movie,1,1,70,397,263,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
titles02/index.html.2093,tt1182345,Moon (2009),moon,http://www.imdb.com/title/tt1182345/,8.0,186273,5820,2009,video.movie,21,20,27,2258,424,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
titles02/index.html.2094,tt0060397,Die phantastische Reise (1966),die phantastische reise,http://www.imdb.com/title/tt0060397/,6.9,10313,6000,1966,video.movie,3,5,27,213,75,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
titles02/index.html.2095,tt0075860,Unheimliche Begegnung der dritten Art (1977),unheimliche begegnung der dritten art,http://www.imdb.com/title/tt0075860/,7.7,109524,8220,1977,video.movie,15,33,90,786,307,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
titles02/index.html.2110,tt1746003,"Cinemassacre's Monster Madness" The Manitou (TV Episode 2010),cinemassacre s monster madness the manitou tv episode,http://www.imdb.com/title/tt1746003/,7.3,6,300,2010,video.episode,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.2114,tt0257044,Road to Perdition (2002),road to perdition,http://www.imdb.com/title/tt0257044/,7.8,165165,7020,2002,video.movie,23,55,88,778,981,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles02/index.html.2117,tt0419294,Three Burials - Die drei Begräbnisse des Melquiades Estrada (2005),three burials die drei begr bnisse des melquiades estrada,http://www.imdb.com/title/tt0419294/,7.5,29806,7260,2005,video.movie,4,8,52,104,193,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.2120,tt0421238,The Proposition - Tödliches Angebot (2005),the proposition t dliches angebot,http://www.imdb.com/title/tt0421238/,7.5,37321,6240,2005,video.movie,13,25,21,519,228,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.2121,tt0036244,Ritt zum Ox-Bow (1943),ritt zum ox bow,http://www.imdb.com/title/tt0036244/,8.1,13354,4500,1943,video.movie,4,0,12,34,114,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles02/index.html.2122,tt0071249,Bring mir den Kopf von Alfredo Garcia (1974),bring mir den kopf von alfredo garcia,http://www.imdb.com/title/tt0071249/,7.6,10643,6720,1974,video.movie,0,0,15,36,109,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles02/index.html.2123,tt0102744,Quigley der Australier (1990),quigley der australier,http://www.imdb.com/title/tt0102744/,6.8,12562,7140,1990,video.movie,2,1,23,20,95,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
